"","long","lat","group","order","region","subregion"
"372",-109.761520385742,33.4893836975098,72,3535,"arizona","graham"
"373",-109.732879638672,33.5065727233887,72,3536,"arizona","graham"
"374",-109.727142333984,33.5352210998535,72,3537,"arizona","graham"
"375",-109.681304931641,33.5524101257324,72,3538,"arizona","graham"
"376",-109.658393859863,33.5982437133789,72,3539,"arizona","graham"
"377",-109.566719055176,33.6268920898438,72,3540,"arizona","graham"
"378",-109.526611328125,33.6326217651367,72,3541,"arizona","graham"
"379",-109.520881652832,33.6440811157227,72,3542,"arizona","graham"
"380",-109.503700256348,33.6498107910156,72,3543,"arizona","graham"
"381",-109.503700256348,33.5008430480957,72,3544,"arizona","graham"
"382",-109.503700256348,33.0940437316895,72,3545,"arizona","graham"
"383",-109.49796295166,33.0711250305176,72,3546,"arizona","graham"
"384",-109.326080322266,32.8362083435059,72,3547,"arizona","graham"
"385",-109.303153991699,32.8247528076172,72,3548,"arizona","graham"
"386",-109.228675842285,32.6929702758789,72,3549,"arizona","graham"
"387",-109.222938537598,32.6414070129395,72,3550,"arizona","graham"
"388",-109.211486816406,32.6242179870605,72,3551,"arizona","graham"
"389",-109.228675842285,32.6070289611816,72,3552,"arizona","graham"
"390",-109.205757141113,32.5783805847168,72,3553,"arizona","graham"
"391",-109.234405517578,32.538272857666,72,3554,"arizona","graham"
"392",-109.228675842285,32.4809799194336,72,3555,"arizona","graham"
"393",-109.194297790527,32.4523277282715,72,3556,"arizona","graham"
"394",-109.188568115234,32.4236831665039,72,3557,"arizona","graham"
"395",-110.466262817383,32.4236831665039,72,3558,"arizona","graham"
"396",-110.466262817383,32.5153541564941,72,3559,"arizona","graham"
"397",-110.46053314209,32.5210838317871,72,3560,"arizona","graham"
"398",-110.466262817383,32.9450721740723,72,3561,"arizona","graham"
"399",-110.454803466797,32.9565353393555,72,3562,"arizona","graham"
"400",-110.46053314209,33.2029037475586,72,3563,"arizona","graham"
"401",-110.420425415039,33.1971740722656,72,3564,"arizona","graham"
"402",-110.40323638916,33.1971740722656,72,3565,"arizona","graham"
"403",-110.437614440918,33.2487411499023,72,3566,"arizona","graham"
"404",-110.454803466797,33.2888450622559,72,3567,"arizona","graham"
"405",-110.449073791504,33.3576011657715,72,3568,"arizona","graham"
"406",-110.40323638916,33.4034385681152,72,3569,"arizona","graham"
"407",-110.368865966797,33.4034385681152,72,3570,"arizona","graham"
"408",-110.351669311523,33.437816619873,72,3571,"arizona","graham"
"409",-110.300102233887,33.437816619873,72,3572,"arizona","graham"
"410",-110.237083435059,33.4721946716309,72,3573,"arizona","graham"
"411",-110.013626098633,33.4721946716309,72,3574,"arizona","graham"
"412",-110.013626098633,33.586784362793,72,3575,"arizona","graham"
"413",-109.056785583496,32.7789154052734,73,3577,"arizona","greenlee"
"414",-109.056785583496,32.4236831665039,73,3578,"arizona","greenlee"
"415",-109.188568115234,32.4236831665039,73,3579,"arizona","greenlee"
"416",-109.194297790527,32.4523277282715,73,3580,"arizona","greenlee"
"417",-109.228675842285,32.4809799194336,73,3581,"arizona","greenlee"
"418",-109.234405517578,32.538272857666,73,3582,"arizona","greenlee"
"419",-109.205757141113,32.5783805847168,73,3583,"arizona","greenlee"
"420",-109.228675842285,32.6070289611816,73,3584,"arizona","greenlee"
"421",-109.211486816406,32.6242179870605,73,3585,"arizona","greenlee"
"422",-109.222938537598,32.6414070129395,73,3586,"arizona","greenlee"
"423",-109.228675842285,32.6929702758789,73,3587,"arizona","greenlee"
"424",-109.303153991699,32.8247528076172,73,3588,"arizona","greenlee"
"425",-109.326080322266,32.8362083435059,73,3589,"arizona","greenlee"
"426",-109.49796295166,33.0711250305176,73,3590,"arizona","greenlee"
"427",-109.503700256348,33.0940437316895,73,3591,"arizona","greenlee"
"428",-109.503700256348,33.5008430480957,73,3592,"arizona","greenlee"
"429",-109.503700256348,33.6498107910156,73,3593,"arizona","greenlee"
"430",-109.480773925781,33.6555404663086,73,3594,"arizona","greenlee"
"431",-109.480773925781,33.6784591674805,73,3595,"arizona","greenlee"
"432",-109.446395874023,33.7128372192383,73,3596,"arizona","greenlee"
"433",-109.406288146973,33.7185668945312,73,3597,"arizona","greenlee"
"434",-109.360450744629,33.7300262451172,73,3598,"arizona","greenlee"
"435",-109.360450744629,33.7529449462891,73,3599,"arizona","greenlee"
"436",-109.348991394043,33.770133972168,73,3600,"arizona","greenlee"
"437",-109.326080322266,33.7815933227539,73,3601,"arizona","greenlee"
"438",-109.291702270508,33.7758636474609,73,3602,"arizona","greenlee"
"439",-109.165649414062,33.7758636474609,73,3603,"arizona","greenlee"
"440",-109.056785583496,33.7758636474609,73,3604,"arizona","greenlee"
"441",-109.051063537598,33.2029037475586,73,3605,"arizona","greenlee"
"442",-109.056785583496,32.7789154052734,73,3606,"arizona","greenlee"
"443",-112.208053588867,32.5096244812012,74,3608,"arizona","maricopa"
"444",-113.336776733398,32.5153541564941,74,3609,"arizona","maricopa"
"445",-113.336776733398,32.6528625488281,74,3610,"arizona","maricopa"
"446",-113.336776733398,32.9450721740723,74,3611,"arizona","maricopa"
"447",-113.336776733398,33.1914443969727,74,3612,"arizona","maricopa"
"448",-113.3310546875,33.3747901916504,74,3613,"arizona","maricopa"
"449",-113.3310546875,33.4951095581055,74,3614,"arizona","maricopa"
"450",-113.325325012207,33.8446159362793,74,3615,"arizona","maricopa"
"451",-113.3310546875,34.0050468444824,74,3616,"arizona","maricopa"
"452",-113.11905670166,34.0050468444824,74,3617,"arizona","maricopa"
"453",-112.740905761719,34.0050468444824,74,3618,"arizona","maricopa"
"454",-112.276809692383,33.8789939880371,74,3619,"arizona","maricopa"
"455",-112.259620666504,33.907642364502,74,3620,"arizona","maricopa"
"456",-112.225242614746,33.9248313903809,74,3621,"arizona","maricopa"
"457",-112.230972290039,33.9592094421387,74,3622,"arizona","maricopa"
"458",-112.190864562988,33.9763984680176,74,3623,"arizona","maricopa"
"459",-112.145027160645,34.039421081543,74,3624,"arizona","maricopa"
"460",-111.87574005127,34.0222358703613,74,3625,"arizona","maricopa"
"461",-111.721038818359,34.0050468444824,74,3626,"arizona","maricopa"
"462",-111.434562683105,33.9993171691895,74,3627,"arizona","maricopa"
"463",-111.434562683105,33.9821281433105,74,3628,"arizona","maricopa"
"464",-111.451751708984,33.9534797668457,74,3629,"arizona","maricopa"
"465",-111.446014404297,33.9248313903809,74,3630,"arizona","maricopa"
"466",-111.405914306641,33.9133720397949,74,3631,"arizona","maricopa"
"467",-111.394454956055,33.8847236633301,74,3632,"arizona","maricopa"
"468",-111.394454956055,33.8503456115723,74,3633,"arizona","maricopa"
"469",-111.371536254883,33.8331565856934,74,3634,"arizona","maricopa"
"470",-111.388725280762,33.8045082092285,74,3635,"arizona","maricopa"
"471",-111.377265930176,33.7930526733398,74,3636,"arizona","maricopa"
"472",-111.388725280762,33.7529449462891,74,3637,"arizona","maricopa"
"473",-111.348617553711,33.7472152709961,74,3638,"arizona","maricopa"
"474",-111.331428527832,33.7300262451172,74,3639,"arizona","maricopa"
"475",-111.337158203125,33.6956481933594,74,3640,"arizona","maricopa"
"476",-111.30850982666,33.6899185180664,74,3641,"arizona","maricopa"
"477",-111.268402099609,33.638355255127,74,3642,"arizona","maricopa"
"478",-111.245483398438,33.6211624145508,74,3643,"arizona","maricopa"
"479",-111.228302001953,33.6154365539551,74,3644,"arizona","maricopa"
"480",-111.21110534668,33.6326217651367,74,3645,"arizona","maricopa"
"481",-111.21110534668,33.6498107910156,74,3646,"arizona","maricopa"
"482",-111.188194274902,33.6669998168945,74,3647,"arizona","maricopa"
"483",-111.170997619629,33.6784591674805,74,3648,"arizona","maricopa"
"484",-111.165267944336,33.6784591674805,74,3649,"arizona","maricopa"
"485",-111.06787109375,33.5123023986816,74,3650,"arizona","maricopa"
"486",-111.056411743164,33.5008430480957,74,3651,"arizona","maricopa"
"487",-111.044952392578,33.4607353210449,74,3652,"arizona","maricopa"
"488",-111.228302001953,33.4607353210449,74,3653,"arizona","maricopa"
"489",-111.572067260742,33.4607353210449,74,3654,"arizona","maricopa"
"490",-111.577796936035,33.3977088928223,74,3655,"arizona","maricopa"
"491",-111.583526611328,33.3862533569336,74,3656,"arizona","maricopa"
"492",-111.583526611328,33.2143630981445,74,3657,"arizona","maricopa"
"493",-112.076271057129,33.2143630981445,74,3658,"arizona","maricopa"
"494",-112.202323913574,33.2888450622559,74,3659,"arizona","maricopa"
"495",-112.202323913574,32.9565353393555,74,3660,"arizona","maricopa"
"496",-112.202323913574,32.6127548217773,74,3661,"arizona","maricopa"
"497",-112.208053588867,32.5096244812012,74,3662,"arizona","maricopa"
"498",-114.637390136719,35.0191802978516,75,3664,"arizona","mohave"
"499",-114.643127441406,35.1051216125488,75,3665,"arizona","mohave"
"500",-114.603019714355,35.1223106384277,75,3666,"arizona","mohave"
"501",-114.574363708496,35.1796112060547,75,3667,"arizona","mohave"
"502",-114.585830688477,35.2369041442871,75,3668,"arizona","mohave"
"503",-114.597282409668,35.2827415466309,75,3669,"arizona","mohave"
"504",-114.608741760254,35.3572273254395,75,3670,"arizona","mohave"
"505",-114.625938415527,35.4087905883789,75,3671,"arizona","mohave"
"506",-114.666046142578,35.4546279907227,75,3672,"arizona","mohave"
"507",-114.660308837891,35.5004653930664,75,3673,"arizona","mohave"
"508",-114.666046142578,35.5405731201172,75,3674,"arizona","mohave"
"509",-114.671775817871,35.6093292236328,75,3675,"arizona","mohave"
"510",-114.683235168457,35.6666221618652,75,3676,"arizona","mohave"
"511",-114.700416564941,35.712459564209,75,3677,"arizona","mohave"
"512",-114.700416564941,35.7926750183105,75,3678,"arizona","mohave"
"513",-114.688957214355,35.8843460083008,75,3679,"arizona","mohave"
"514",-114.711875915527,35.9129943847656,75,3680,"arizona","mohave"
"515",-114.734802246094,35.9588317871094,75,3681,"arizona","mohave"
"516",-114.734802246094,36.0161285400391,75,3682,"arizona","mohave"
"517",-114.757713317871,36.0619659423828,75,3683,"arizona","mohave"
"518",-114.734802246094,36.1078033447266,75,3684,"arizona","mohave"
"519",-114.700416564941,36.1192588806152,75,3685,"arizona","mohave"
"520",-114.643127441406,36.1421775817871,75,3686,"arizona","mohave"
"521",-114.557182312012,36.153636932373,75,3687,"arizona","mohave"
"522",-114.488426208496,36.1364479064941,75,3688,"arizona","mohave"
